Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
DEPARTAMENTOCoronelSouper4250,Estación Central,,38.0,1.0,1.0,0,,Pequeño (35-54m2)
"Dpto.2Dorm/2Baños/1Est.ApasosdeL2metroElParrón,LaCisterna.",La Cisterna,440000.0,,2.0,2.0,1,,Sin dato
"Dpto2D.1B,1Est.MetroSantaAnaallado.",Santiago,400000.0,,2.0,1.0,1,,Sin dato
"DEPARTAMENTOPoetaPedroPrado1353,quintanormal.",Quinta Normal,,59.0,3.0,1.0,0,,Mediano (55-74m2)
ArriendoDepto.2D/2B+EstyBod-Santiago,Santiago,500000.0,45.0,2.0,2.0,1,11111.0,Pequeño (35-54m2)
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,,45.0,2.0,1.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,,31.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,,31.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoenCarrión,Independencia,,36.0,1.0,1.0,0,,Pequeño (35-54m2)
DepartamentoenYungay,Santiago,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOColon6479,La Cisterna,248000.0,,2.0,1.0,0,,Sin dato
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,,31.0,1.0,1.0,0,,Studio / Mini (<35m2)
¡¡DepartamentoenEstaciónCentral!!HermosoHomeStudioapasosdemetroEcuador!!,Santiago,,,,1.0,0,,Sin dato
DEPARTAMENTO2D+1BCERCANOAMETROSANTALUCÍA,Santiago,340000.0,,2.0,1.0,0,,Sin dato
HABITACIONESTUDIANTE.WCPRIVADO.ENÑUÑOA.SINGG.CCNICOMISION,Santiago,,,1.0,1.0,0,,Sin dato
HERMOSOYBUENUBICADODEP01H01B01EST01BODAVLASCONDES7167,Las Condes,650000.0,,1.0,1.0,1,,Sin dato
LINDODEPARTAMENTO1D+1BCERCADEMETROSANALBERTOHURTADO,Estación Central,,,1.0,1.0,0,,Sin dato
"Departamentode3dormitorios,1baño,1estacionamiento",Cerrillos,480000.0,,3.0,1.0,1,,Sin dato
¡¡LindoDeptoDe2D+1B+ESTenMacul!!,Macul,52000.0,,2.0,1.0,1,,Sin dato
