Title,Commune,Price,Area_m2,Bedrooms,Bathrooms,ParkingSpots
DEPARTAMENTOColon6479,LaCisterna,$248.000-20%,,2.0,1.0,
"DEPARTAMENTOAviadorAcevedo1644,conchalí.",Conchalí,$288.10,31m2,1.0,1.0,
¡¡DepartamentoenEstaciónCentral!!HermosoHomeStudioapasosdemetroEcuador!!,Santiago,$210.00,,,1.0,
DEPARTAMENTO2D+1BCERCANOAMETROSANTALUCÍA,Santiago,$340.000-3%,,2.0,1.0,
HABITACIONESTUDIANTE.WCPRIVADO.ENÑUÑOA.SINGG.CCNICOMISION,Santiago,$260.00,,1.0,1.0,
HERMOSOYBUENUBICADODEP01H01B01EST01BODAVLASCONDES7167,LasCondes,$650.000Urgente,,1.0,1.0,1
LINDODEPARTAMENTO1D+1BCERCADEMETROSANALBERTOHURTADO,EstaciónCentral,$250.00,,1.0,1.0,
"Departamentode3dormitorios,1baño,1estacionamiento",Cerrillos,$480.000-2%,,3.0,1.0,1
¡¡LindoDeptoDe2D+1B+ESTenMacul!!,Macul,$520.00,,2.0,1.0,1
HERMOSODEPARTAMENTOAMOBLADO2D+1BMETROELLLANO,SanMiguel,$460.00,,2.0,1.0,
"LINDODEPARTAMENTO3D+1B+EST,CERCANOAMETROCIUDADDELNIÑO!!",SanMiguel,$350.00,,3.0,1.0,1
HERMOSOYMUYBIENUBICADODEP02H02B01EST01BODEGA,Ñuñoa,$650.000Oportunidad,80m2,2.0,2.0,1
"HERMOSODEPARTAMENTO1B+1D+ESTACIONAMIENTO,COMUNADESANMIGUEL",SanMiguel,$400.00,,1.0,1.0,1
SEARRIENDACÓMODOYBIENUBICADODEP01H01BQUINTAAV1475,SanMiguel,$280.00,32m2,1.0,1.0,
DEPARTAMENTODE1D+1BAMOBLADOCERCADEMETROESTADIONACIONAL!,Ñuñoa,$360.00,,1.0,1.0,
"DEPARTAMENTOIndependencia560,independencia",Independencia,$355.00,3844m2,1.0,1.0,
BELLODEPARTAMENTO1D+1BCERCANOAMETROSANALBERTOHURTADO,Santiago,$240.00,,1.0,1.0,
BELLODEPARTAMENTO1D+1BCERCAALMETROECUADOR,LaCisterna,$250.000-26%,,1.0,1.0,
SearriendaDepto2D+2B+Est+BodcercanoaMetroSanAlbertoHurtado,EstaciónCentral,$330.00,,2.0,2.0,1
"HERMOSODEPARTAMENTO1D+1B+ESTACIONAMIENTO,METROFRANKLIN",SanMiguel,$400.00,,1.0,1.0,1
BELLODEPARTAMENTO1D+1B+ESTACIONAMIENTOENMACUL,Macul,$500.00,,1.0,1.0,1
Departamentocalidoycomodo-oportunidad,EstaciónCentral,$260.00,,1.0,1.0,1
¡HermosoDpto2D+1B+ESTYBOD!¡cercanoAMetroEcuador!,EstaciónCentral,$295.00,,2.0,1.0,1
ArriendoDepto.1D/MesgastocomúnGRATIS/Garantíaenpartes/CercaMetroSanAlbertoHurtado,EstaciónCentral,$260.00,,1.0,1.0,
DepartamentoCALLESANIGNACIODELOYOLA4250SANMIGUEL-TIPOESTUDIO,SanMiguel,$250.00,28m2,1.0,1.0,
DepartamentodeunambienteapasosdelMetro,Santiago,$250.00,,1.0,1.0,
DepartamentoALAMEDA4103COMUNAESTACIÓNCENTRAL,EstaciónCentral,$300.000-3%,52m2,2.0,2.0,
DepartamentoenAvenidaMaríaRozasVelásquez,EstaciónCentral,$270.00,30m2,1.0,1.0,
DepartamentoenPabloUrzúa,Independencia,$360.00,48m2,2.0,1.0,
DepartamentoenWalkerMartínez,LaFlorida,$478.400-8%,45m2,2.0,2.0,1
DepartamentoCALLECONDEDELMAULE4470/ESTACIÓNCENTRAL,EstaciónCentral,$220.00,30m2,1.0,1.0,
DepartamentoCALLESANIGNACIODELOYOLA4250SANMIGUEL-TIPOESTUDIO,SanMiguel,$250.00,28m2,1.0,1.0,
DEPARTAMENTOAmunategui/SanPablo,Santiago,$255.000-7%,35m2,1.0,1.0,
"DEPTO1HAB+1BAÑ,PISO20,PROMO250.000X2MESES",EstaciónCentral,$270.00,,1.0,1.0,
DEPARTAMENTOcatedral4245,QuintaNormal,$250.00,43m2,1.0,1.0,
DepartamentoPRIMERAAVENIDA1336SANMIGUEL,SanMiguel,$400.000-5%,48m2,2.0,1.0,
DepartamentoCALLEALCALDEPEDROALARCON834-METROELLLANO,SanMiguel,$540.000-4%,67m2,3.0,2.0,
Depto.Ñuñoacuadrasmetroirrarazabal-2D/2B-Estacionamiento,Ñuñoa,$620.000-2%,55m2,2.0,2.0,1
DepartamentoAVENIDASANTAROSA265-L1SANTALUCIA,Santiago,$290.00,32m2,1.0,1.0,
DepartamentoGRANAVENIDA6250COMUNADESANMIGUEL,SanMiguel,$400.00,48m2,2.0,1.0,
ArriendoDepto.1D/1B-Santiago,Santiago,$400.00,32m2,1.0,1.0,
DepartamentoCUARTAAVENIDA1350COMUNADESANMIGUEL,SanMiguel,$400.00,47m2,2.0,2.0,
DepartamentoCALLEMAPOCHO1522COMUNADESANTIAGO,Santiago,$220.00,26m2,1.0,1.0,
"DepartamentoCALLESANFRANCISCO294,SANTIAGOCENTRO",Santiago,$260.00,28m2,1.0,1.0,
DEPARTAMENTOLosAndesdeVioletaParra4162,QuintaNormal,$250.00,,1.0,1.0,
"Hermosodpto,ubicadoenbarriorepública$320000sinmuebles)",Santiago,$320.000-9%,40m2,1.0,1.0,
DepartamentoEnArriendoQuintaNormal,QuintaNormal,$450.00,49m2,2.0,1.0,1
Dueñoarriendadpto2dormfrenteametrohospitales,Independencia,$380.000-3%,53m2,2.0,1.0,
PROMO2MESES$340.000DPTOAMOBLADOQUINTANORMA,QuintaNormal,$380.000-10%,,1.0,1.0,
DeptoBlancoEncalada/beauchef1dorm/estac/bod(metro),Santiago,$385.000-1%,,1.0,1.0,1
"ARRIENDOACOGEDORACASITAINTERIORPERSONASOLA,PAREJACHILENA",Maipú,$315.00,43m2,1.0,1.0,
DepartamentoCALLELOSOLMOS3031COMUNAMACUL,Macul,$465.000-7%,54m2,2.0,2.0,
DEPARTAMENTONatanielCox331,Santiago,$310.000-3%,35m2,1.0,1.0,
ArriendodeptoenLaFlorida-1dorm1baño,LaFlorida,$350.00,,1.0,1.0,
ArriendoDepto.1D/1B-EstaciónCentral,EstaciónCentral,$230.000-12%,31m2,1.0,1.0,
"METRODEPARTAMENTAL,ARRIENDO1DCON1B.",SanMiguel,$300.00,34m2,1.0,1.0,
DEPARTAMENTODIAGONALSANTAELENA2565,SanJoaquín,$430.00,50m2,2.0,1.0,
MaríaLuisaSantander/Condell/FullAmoblado,Providencia,UF30,64m2,2.0,2.0,1
DepartamentoenTilTil,Ñuñoa,$400.00,60m2,2.0,1.0,
DepartamentoenDomingoFaustinoSarmiento,Ñuñoa,UF15,36m2,1.0,1.0,1
DepartamentoenRosas,Santiago,$430.00,35m2,1.0,1.0,1
DepartamentoAVENIDASANTAROSA265-L1SANTALUCIA,Santiago,$290.00,32m2,1.0,1.0,
DepartamentoGRANAVENIDA6250COMUNADESANMIGUEL,SanMiguel,$400.00,48m2,2.0,1.0,
DEPTO2D/1B/E/BODapasosdelmetroSanMiguel,SanMiguel,$422.000-1%,,2.0,1.0,1
DepartamentoenTilTil,Ñuñoa,$400.00,60m2,2.0,1.0,
DepartamentoCALLEALCALDEPEDROALARCON834-METROELLLANO,SanMiguel,$540.000-4%,67m2,3.0,2.0,
DEPARTAMENTOColon6479,LaCisterna,$350.00,,3.0,1.0,
DepartamentoCUARTAAVENIDA1350COMUNADESANMIGUEL,SanMiguel,$400.00,47m2,2.0,2.0,
DepartamentoenDomingoFaustinoSarmiento,Ñuñoa,UF15,36m2,1.0,1.0,1
DepartamentoCALLEMAPOCHO1522COMUNADESANTIAGO,Santiago,$220.00,26m2,1.0,1.0,
DepartamentoenRosas,Santiago,$430.00,35m2,1.0,1.0,1
"DepartamentoCALLESANFRANCISCO294,SANTIAGOCENTRO",Santiago,$260.00,28m2,1.0,1.0,
DepartamentoenCalleElMolino,Independencia,$290.00,27m2,1.0,1.0,
Depto.Ñuñoacuadrasmetroirrarazabal-2D/2B-Estacionamiento,Ñuñoa,$620.000-2%,55m2,2.0,2.0,1
DEPARTAMENTODIAGONALSANTAELENA2565,SanJoaquín,$430.00,50m2,2.0,1.0,
DepartamentoCALLESANTAROSA835-METROMATTA2D+1B1ERMES50%DSCTO,Santiago,$320.000-3%,40m2,2.0,1.0,
DEPARTAMENTOVicunaMackena,Santiago,$330.000-3%,,2.0,1.0,
HERMOSOYAMPLIODEP02H02B01TERRAZAYESTACIONAMIENTOSANIGNACIODELOYOLA633,Santiago,$400.000Urgente,68m2,2.0,2.0,1
DUEÑOARRIENDAEXCELENTEDEPTOCENTROA2CUADRASMETROBELLASARTESPRECIOSAVISTA,Santiago,$330.00,,1.0,1.0,
Arriendo-ComunaSanMiguel-Santiago,SanMiguel,$650.00,,3.0,2.0,1
Departamentoreciénremodelado!SanPablo1503,Santiago,$330.000-6%,,2.0,1.0,
DEPARTAMENTOCarmen110,Santiago,$280.00,,1.0,1.0,
ArriendoDepartamentoSantiagoCentroCod.2308,Santiago,$280.00,,1.0,1.0,
DEPARTAMENTOMetroCerroBlanco,Recoleta,$360.000-10%,53m2,2.0,2.0,
ExcelenteDptoConEstacionamiento.Cod.143,Ñuñoa,$600.00,,1.0,1.0,1
Departamento3D+1BconestacionamientoStaRosaII-Arriendasudueño,SanMiguel,$400.00,,3.0,1.0,1
DepartamentoSantiagoCentro,Santiago,$300.00,,1.0,1.0,
DEPARTAMENTOMetroLoVial,SanMiguel,$300.00,38m2,1.0,1.0,
DEPARTAMENTOObispoUmaña030,EstaciónCentral,$300.000-14%,55m2,3.0,2.0,
Arriendodepartamento,EstaciónCentral,$320.000-9%,,2.0,1.0,
Depto2D/2B/E/BODapasosdelmetroL2yL6,SanMiguel,$425.00,,2.0,2.0,1
Depto2D/1B/E/BODapasosdelmetroL2yL6,SanMiguel,$369.000-8%,,2.0,1.0,1
ExcelenteDptoConEstacionamiento.Cod.143,Ñuñoa,$600.00,,1.0,1.0,1
ArriendoDepartamentoSantiagoCentroCod.2308,Santiago,$280.00,,1.0,1.0,
DUEÑOARRIENDAEXCELENTEDEPTOCENTROA2CUADRASMETROBELLASARTESPRECIOSAVISTA,Santiago,$330.00,,1.0,1.0,
Depto.2D/2B/E/BODapasosdelmetroLoVial,SanMiguel,$430.00,,2.0,2.0,1
"ArriendoDepto1DFullEquipado–MetroLoOvalle,LaCisterna",LaCisterna,$350.00,,1.0,1.0,
DEPARTAMENTOMetroLoVial,SanMiguel,$300.00,38m2,1.0,1.0,
"Departamentoencuartopiso,unahabitación,ComunadelaCisterna",LaCisterna,$275.000-2%,,1.0,1.0,
DEPARTAMENTOCarmen110,Santiago,$280.00,,1.0,1.0,
DEPARTAMENTOObispoUmaña030,EstaciónCentral,$300.000-14%,55m2,3.0,2.0,
Arriendodepartamento,EstaciónCentral,$320.00,35m2,1.0,1.0,
OFERTAARRIENDODPTO2HAB+2BAÑ+EST+BOINDEPENDENC,Independencia,$480.000-4%,,2.0,2.0,1
Arriendodepartamentointerior;excelentescondiciones,Maipú,$300.00,,1.0,1.0,
Depto1d1bestacióncentral,EstaciónCentral,$300.00,,1.0,1.0,
ARRIENDODEPTO.2DORM.+1BAÑO.METROSANALBERTOHURTADO,EstaciónCentral,$280.000-3%Oportunidad,,2.0,1.0,
ArriendoDepto.1dormitorio/SINAVAL/50%DCTO/Garantíaenpartes/UniversidaddeSantiago,EstaciónCentral,$250.000Oportunidad,,1.0,1.0,
Depto2Destilomariposa/50%DCTO/1MESGRATISGC/Garantíaenpartes/Renca,Renca,$320.000-3%,46m2,2.0,2.0,
Luminosodepartamentoremodelado2D/1BenSanDiego,Santiago,$360.00,41m2,2.0,1.0,
DepartamentoCALLEZENTENO1490COMUNADESANTIAGO,Santiago,$290.00,48m2,2.0,1.0,
SINCOMISION-HipodromoChile/MetroPlazaChacabuco/AvIndependencia,Independencia,$300.000-14%,40m2,2.0,1.0,
ArriendoMetroSanAlbertoHurtado2D2B1E(98273),EstaciónCentral,$420.00,,2.0,2.0,1
ArriendoDepto.1D/1B,EstaciónCentral,$270.00,33m2,1.0,1.0,
SanDiego/Victoria/Santiago,Santiago,$220.00,30m2,1.0,1.0,
ARRIENDOEXCELENTEDEPARTAMENTOAPASOSDELMETROÑUÑOA,Ñuñoa,$1.300.000-7%,121m2,4.0,3.0,2
Nuevodepartamentode2Dormitorios,LaCisterna,$495.00,,2.0,2.0,1
"ArriendoDepto2d1bEstac,Bod.EnMetroDepartamental,SanMiguel.",SanMiguel,$460.00,48m2,2.0,1.0,1
SantaPetronila/Ecuador/MetroLasRejas,EstaciónCentral,$230.000-21%,30m2,1.0,1.0,1
¡OPORTUNIDAD!ArturoPrat/EleuterioRamírez-metroUniversidadDeChile(SEMINUEVO),Santiago,$295.000-33%,35m2,1.0,1.0,
"Arriendo,DEPARTAMENTO,EstaciónCentral.2D/1B",EstaciónCentral,$295.00,40m2,2.0,1.0,
"DepartamentoMoneda1617,SantiagoCentro",Santiago,$320.00,35m2,1.0,1.0,
Dorsal1395comodo3dormitoriostorreF,Santiago,$470.00,,3.0,2.0,1
ArriendoDepto.1D/1B-Santiago,Santiago,$400.00,32m2,1.0,1.0,
ArriendoMetroSanAlbertoHurtado2D2B1E(98273),EstaciónCentral,$420.00,,2.0,2.0,1
1dormitorioconinstalaciondelavadora.comunaSantiago,Santiago,$295.000-11%,39m2,1.0,1.0,
"ArriendoStudio+estacionamiento$200.000,SantoDomingo2246,Santiago",Santiago,$200.00,25m2,,1.0,1
SantaPetronila/Ecuador/MetroLasRejas,EstaciónCentral,$230.000-21%,30m2,1.0,1.0,1
ArriendoDepto.3D/1B-SanMiguel,SanMiguel,$330.00,50m2,3.0,1.0,
"Arriendo,DEPARTAMENTO,EstaciónCentral.2D/1B",EstaciónCentral,$295.00,40m2,2.0,1.0,
VIVEENPROVIDENCIADEPARTAMENTO2D2BCONTERRAZAYESTILO,Providencia,$950.00,60m2,2.0,2.0,2
ARRIENDOCOMODODEPARTAMENTOENCONDOMINIO,EstaciónCentral,$410.00,45m2,2.0,2.0,1
Nuevodepartamentode2Dormitorios,LaCisterna,$495.00,,2.0,2.0,1
DepartamentoSEARRIENDADEPARTAMENTO,EstaciónCentral,$320.00,37m2,1.0,1.0,
ArriendoDepto.2D/1B+EstyBod-EstaciónCentral,EstaciónCentral,$333.00,46m2,2.0,1.0,1
"DepartamentoMoneda1617,SantiagoCentro",Santiago,$320.00,35m2,1.0,1.0,
ArriendoDpto.Estudio-Cerrillos,Cerrillos,$260.00,22m2,1.0,1.0,
DEPARTAMENTOEyzaguirreconSanFrancisco,Santiago,$200.000-5%,30m2,1.0,1.0,
¡OPORTUNIDAD!ArturoPrat/EleuterioRamírez-metroUniversidadDeChile(SEMINUEVO),Santiago,$295.000-33%,35m2,1.0,1.0,
"DepartamentoRivas1050conEstacionamientoyBodega,SanMiguel",SanMiguel,$450.00,56m2,2.0,2.0,1
"Ampliodepartamentocon3D,2B,bodegayestacionamientoopcional,LaFlorida",LaFlorida,$550.000-8%,78m2,3.0,2.0,1
ArriendoDepto.1D/1B,EstaciónCentral,$270.00,33m2,1.0,1.0,
DepartamentoSEARRIENDALUMINOSODEPARTAMENTO,Independencia,$340.00,44m2,2.0,2.0,
Depto1D/1BCarmenc/avMatta,Santiago,$270.000-4%,30m2,1.0,1.0,
DepartamentoEstudio1DMetroLaCisterna,LaCisterna,$240.00,,1.0,1.0,
Depto2D+2B+ECercaaMetroParqueAlmagro,Santiago,$430.00,,2.0,2.0,1
"SantaIsabel353,cercanoMetroSantaIsabel",Santiago,$290.000-3%,,1.0,1.0,
DepartamentoenArriendoLaFlorida,LaFlorida,$350.00,,1.0,1.0,Más
ARRIENDOHERMOSODEPARTAMENTOSANTIAGOCENTRO,Santiago,UF680.000,,3.0,2.0,1
DepartamentoFrenteMetroÑubleCondominioAireMundo,Santiago,$380.00,38m2,2.0,1.0,
Departamento1D-1BCONESTACIONAMIENTO,Santiago,$250.000-14%,,1.0,1.0,1
OFERTA2MESES170.000HOMESTUDIOECONOMICO+1B,EstaciónCentral,$190.000-14%,,1.0,1.0,
ARRIENDODepartamentoenQuintanormalMetroBlanqueado,QuintaNormal,UF400.000Oportunidad,,3.0,1.0,
ARRIENDODPOTIPOMARIPOSA-METRODEPARTAMENTAL-SANMIGUEL,SanMiguel,$480.00,,2.0,2.0,1
DepartamentoFrenteMetroÑubleCondominioAireMundo,Santiago,$380.00,38m2,2.0,1.0,
ArriendoDepartamentitipoStudiometroSantaAnaVALORREBAJADO2meses,Peñalolén,$210.000-29%,,1.0,1.0,
Departamento1dormitorio2ambientesexcelenteubicacion,Santiago,$300.00,,1.0,1.0,
DepartamentoBellasArtes,Santiago,$290.000-3%,38m2,1.0,1.0,
LuminosoDeptoVivacetaBajosGastosComunes,SanMiguel,UF250.000,,1.0,1.0,
DepartamentosenConchalí|¡OFERTAIRREPETIBLE!GranofertaencomunadeConchalí,Conchalí,$450.00,,2.0,1.0,
Depto2D1BSantiagoCentro,Santiago,$370.00,,2.0,1.0,
"SantaIsabel353,cercanoMetroSantaIsabel.",Santiago,$490.000-2%,,2.0,2.0,1
ArriendoDepto.1dormitorio+Estacionamiento+Bodega/50%DCTO/Garantíaenpartes/LaCisterna,LaCisterna,$330.000-3%,,1.0,1.0,1
DepartamentoInterior,Cerrillos,UF260.000,,1.0,1.0,
OFERTA2MESES170.000HOMESTUDIOECONOMICO+1B,EstaciónCentral,$190.000-14%,,1.0,1.0,
ArriendoDepartamento,Santiago,$250.00,,1.0,1.0,
PrecioRebajado-SinComisión-Logia-Balcón-a5minutosdemetroMiradorVentanasTermoPanel,LaFlorida,$320.000-6%,38m2,1.0,1.0,
"Excelentedepartamento1dormitorio,1bañoyestacionamiento",Santiago,$345.000-1%,,1.0,1.0,1
Arriendodepartamentodosdormitorios,Santiago,$380.00,,2.0,1.0,
Departamento3D-2Bestacióncentral,EstaciónCentral,$420.000-7%,,3.0,2.0,1
DepartamentoMetroEcuador,EstaciónCentral,$200.000-9%,26m2,1.0,1.0,
